Forecast_Date,Biden's EV Forecast (538),Biden's EV Forecast (Economist),Average_Projected_EV,Biden's Chance of Winning (538),Biden's Chance of Winning (Economist),Average_Chance_of_Winning (%)
2020-10-19,347.664,350.0,348.832,0.875,0.924,89.95
2020-10-18,346.7427,340.0,343.37135,0.87355,0.903,88.8275
2020-10-17,346.6969,341.0,343.84845,0.87365,0.9079999999999999,89.0825
2020-10-16,345.787,343.0,344.3935,0.8677,0.9109999999999999,88.935
2020-10-15,345.9936,343.0,344.4968,0.867025,0.9109999999999999,88.90125
2020-10-14,345.8395,345.0,345.41975,0.8657,0.912,88.885
2020-10-13,346.2659,343.0,344.63295,0.866625,0.912,88.93124999999999
2020-10-12,346.0478,345.0,345.5239,0.8621,0.9079999999999999,88.505
2020-10-11,345.4949,347.0,346.24744999999996,0.85825,0.9109999999999999,88.4625
2020-10-10,344.2148,350.0,347.1074,0.851475,0.9179999999999999,88.47375
2020-10-09,343.5584,350.0,346.7792,0.84845,0.919,88.3725
2020-10-08,343.0071,350.0,346.50355,0.843975,0.92,88.19875
2020-10-07,342.6205,346.0,344.31025,0.83955,0.9059999999999999,87.2775
2020-10-06,338.6649,341.0,339.83245,0.82345,0.9,86.17250000000001
2020-10-05,335.744,341.0,338.372,0.814125,0.8959999999999999,85.50625
2020-10-04,334.744,339.0,336.872,0.80915,0.8859999999999999,84.7575
2020-10-03,332.7776,335.0,333.8888,0.801225,0.871,83.61125
2020-10-02,332.9893,335.0,333.99465,0.79335,0.867,83.0175
2020-10-01,335.4009,339.0,337.20045,0.799275,0.892,84.56375
2020-09-30,331.7138,337.0,334.3569,0.78185,0.878,82.9925
2020-09-29,331.0672,334.0,332.5336,0.77935,0.867,82.3175
2020-09-28,330.2105,332.0,331.10525,0.775725,0.853,81.43625
2020-09-27,331.3619,331.0,331.18095,0.7756,0.85,81.28
2020-09-26,330.824,334.0,332.41200000000003,0.769675,0.853,81.13375
2020-09-25,330.4502,333.0,331.7251,0.76685,0.8540000000000001,81.0425
2020-09-24,329.9864,330.0,329.9932,0.766175,0.85,80.80875
2020-09-23,331.6738,334.0,332.8369,0.772925,0.8540000000000001,81.34625
2020-09-22,332.0203,334.0,333.01015,0.7686,0.852,81.03
2020-09-21,331.6522,334.0,332.8261,0.769225,0.856,81.26124999999999
2020-09-20,330.5893,335.0,332.79465,0.76835,0.865,81.6675
2020-09-19,330.6043,334.0,332.30215,0.771425,0.861,81.62125
2020-09-18,330.251,336.0,333.1255,0.768,0.87,81.89999999999999
2020-09-17,328.0115,335.0,331.50575000000003,0.7579,0.86,80.89500000000001
2020-09-16,329.0998,335.0,332.0499,0.760775,0.8640000000000001,81.23875000000001
2020-09-15,329.61,334.0,331.805,0.757575,0.8420000000000001,79.97875
2020-09-14,329.0644,334.0,331.5322,0.755925,0.8440000000000001,79.99625
2020-09-13,329.4047,333.0,331.20235,0.754475,0.8390000000000001,79.67375000000001
2020-09-12,328.67199999999997,333.0,330.836,0.749775,0.831,79.03875000000001
2020-09-11,330.0929,334.0,332.04645,0.754575,0.8370000000000001,79.57875000000001
2020-09-10,327.8786,334.0,330.9393,0.7457,0.8440000000000001,79.485
2020-09-09,327.1287,335.0,331.06435,0.741525,0.853,79.72625
2020-09-08,321.2776,333.0,327.1388,0.711825,0.833,77.24125
2020-09-07,321.0423,334.0,327.52115000000003,0.710275,0.84,77.51375
2020-09-06,321.1162,334.0,327.55809999999997,0.708875,0.8370000000000001,77.29375
2020-09-05,319.9235,334.0,326.96175,0.7034,0.8290000000000001,76.62
2020-09-04,320.9097,334.0,327.45484999999996,0.7081,0.8270000000000001,76.755
2020-09-03,319.1343,334.0,326.56714999999997,0.7013,0.8320000000000001,76.665
2020-09-02,319.1021,335.0,327.05105000000003,0.703325,0.843,77.31625
2020-09-01,315.3092,333.0,324.15459999999996,0.6881,0.831,75.955
2020-08-31,312.938,337.0,324.969,0.673975,0.8490000000000001,76.14875
2020-08-30,316.1126,337.0,326.55629999999996,0.6865,0.8440000000000001,76.525
2020-08-29,317.2131,337.0,327.10654999999997,0.6882,0.85,76.91
2020-08-28,317.5361,341.0,329.26805,0.692525,0.8640000000000001,77.82625
2020-08-27,317.6086,342.0,329.8043,0.6964,0.871,78.37
2020-08-26,317.1448,350.0,333.5724,0.69555,0.8909999999999999,79.3275
2020-08-25,324.0612,345.0,334.5306,0.725875,0.882,80.39375
2020-08-24,324.2517,347.0,335.62585,0.726975,0.887,80.69874999999999
2020-08-23,325.4708,340.0,332.7354,0.729625,0.8690000000000001,79.93125
2020-08-22,324.6079,339.0,331.80395,0.7255,0.861,79.325
2020-08-21,324.9449,339.0,331.97245,0.72875,0.863,79.5875
2020-08-20,322.9554,337.0,329.9777,0.722825,0.847,78.49125000000001
2020-08-19,321.6516,337.0,329.32579999999996,0.717275,0.8540000000000001,78.56375
2020-08-18,323.2832,335.0,329.14160000000004,0.7291,0.845,78.705
2020-08-17,322.7271,335.0,328.86355000000003,0.72375,0.847,78.5375
2020-08-16,322.4463,339.0,330.72315000000003,0.7145,0.852,78.325
2020-08-15,324.7491,341.0,332.87455,0.71915,0.8640000000000001,79.1575
2020-08-14,326.3919,342.0,334.19595000000004,0.72925,0.866,79.7625
2020-08-13,324.2502,340.0,332.1251,0.7216,0.8590000000000001,79.03
2020-08-12,322.8088,342.0,332.4044,0.70875,0.868,78.8375
2020-08-11,323.0502,340.0,331.5251,0.71025,0.858,78.4125
2020-08-10,323.4573,342.0,332.72865,0.712875,0.865,78.89375000000001
2020-08-09,322.3089,344.0,333.15445,0.709125,0.8740000000000001,79.15625
2020-08-08,321.9173,347.0,334.45865000000003,0.7055,0.877,79.125
2020-08-07,320.8368,347.0,333.9184,0.6992,0.879,78.91
2020-08-06,321.1793,347.0,334.08965,0.703325,0.875,78.91625
2020-08-05,320.485,343.0,331.7425,0.698925,0.865,78.19625
2020-08-04,325.9403,343.0,334.47015,0.716625,0.861,78.88125
2020-08-03,325.0386,343.0,334.0193,0.712975,0.862,78.74875
2020-08-02,324.9395,346.0,335.46975,0.712425,0.871,79.17125
2020-08-01,325.2362,343.0,334.1181,0.710875,0.8640000000000001,78.74375
2020-07-31,324.4243,343.0,333.71215,0.710125,0.866,78.80625
2020-07-30,329.5762,343.0,336.2881,0.7359,0.865,80.045
2020-07-29,328.96,342.0,335.48,0.729925,0.858,79.39625
2020-07-28,330.8674,343.0,336.9337,0.7363,0.863,79.965
2020-07-27,329.3023,341.0,335.15115000000003,0.729775,0.856,79.28875
2020-07-26,329.6984,343.0,336.3492,0.729375,0.861,79.51875
2020-07-25,328.9527,343.0,335.97635,0.735,0.857,79.60000000000001
2020-07-24,328.2244,346.0,337.11220000000003,0.7265,0.8740000000000001,80.025
2020-07-23,330.1903,347.0,338.59515,0.732575,0.877,80.47875
2020-07-22,331.4298,344.0,337.7149,0.745,0.862,80.35
2020-07-21,329.6766,347.0,338.3383,0.73915,0.87,80.45750000000001
2020-07-20,332.418,347.0,339.709,0.74795,0.87,80.8975
2020-07-19,331.1844,351.0,341.0922,0.7408,0.8759999999999999,80.84
2020-07-18,330.8307,352.0,341.41535,0.7356,0.879,80.73
2020-07-17,331.3426,352.0,341.6713,0.73485,0.885,80.9925
2020-07-16,332.1587,352.0,342.07935,0.73795,0.883,81.0475
2020-07-15,335.1772,352.0,343.58860000000004,0.758,0.883,82.05
2020-07-14,332.9167,350.0,341.45835,0.7385,0.871,80.47500000000001
2020-07-13,333.2055,342.0,337.60275,0.73885,0.8440000000000001,79.1425
2020-07-12,331.5857,344.0,337.79285,0.726775,0.852,78.93874999999998
2020-07-11,329.4546,344.0,336.7273,0.71715,0.853,78.5075
2020-07-10,330.5589,343.0,336.77945,0.7216,0.848,78.47999999999999
2020-07-09,329.9499,339.0,334.47495000000004,0.72455,0.831,77.7775
2020-07-08,331.1682,339.0,335.08410000000003,0.727375,0.8290000000000001,77.81875000000001
2020-07-07,331.1515,341.0,336.07574999999997,0.728375,0.831,77.96875
2020-07-06,326.9659,341.0,333.98294999999996,0.7158,0.836,77.59
2020-07-05,335.2299,341.0,338.11495,0.759375,0.8370000000000001,79.81875000000001
2020-07-04,334.8585,341.0,337.92925,0.75685,0.8340000000000001,79.5425
2020-07-03,336.0297,342.5,339.26485,0.75895,0.841,79.9975
2020-07-02,335.0142,343.0,339.00710000000004,0.7563,0.846,80.11500000000001
2020-07-01,335.9876,347.0,341.49379999999996,0.761525,0.857,80.92625
2020-06-30,335.7904,343.0,339.3952,0.761375,0.846,80.36875
2020-06-29,341.17199999999997,343.0,342.086,0.78785,0.8440000000000001,81.5925
2020-06-28,341.7944,341.0,341.3972,0.785625,0.841,81.33125
2020-06-27,341.7366,343.0,342.3683,0.788425,0.851,81.97125000000001
2020-06-26,342.5405,343.0,342.77025000000003,0.79055,0.847,81.8775
2020-06-25,339.7228,343.0,341.3614,0.7795,0.85,81.475
2020-06-24,341.4927,341.0,341.24635,0.786725,0.835,81.08625
2020-06-23,340.23900000000003,343.0,341.6195,0.780075,0.838,80.90375
2020-06-22,339.9633,343.0,341.48165,0.7816,0.84,81.08
2020-06-21,338.8086,347.0,342.90430000000003,0.777475,0.8590000000000001,81.82375
2020-06-20,338.4977,348.0,343.24885,0.77515,0.855,81.5075
2020-06-19,337.4355,346.0,341.71775,0.771925,0.848,80.99624999999999
2020-06-18,336.2005,346.0,341.10024999999996,0.75945,0.8490000000000001,80.4225
2020-06-17,335.9355,349.0,342.46775,0.761575,0.858,80.97875
2020-06-16,334.5107,347.0,340.75535,0.75675,0.8540000000000001,80.53750000000001
2020-06-15,332.9862,345.0,338.9931,0.749025,0.8440000000000001,79.65125
2020-06-14,336.005,343.0,339.5025,0.76255,0.835,79.8775
2020-06-13,334.6525,342.0,338.32624999999996,0.75935,0.83,79.4675
2020-06-12,334.07599999999996,343.0,338.538,0.7543,0.838,79.615
2020-06-11,333.5842,343.0,338.2921,0.75125,0.8390000000000001,79.5125
2020-06-10,326.6442,340.0,333.3221,0.711825,0.8220000000000001,76.69125000000001
2020-06-09,324.3535,339.0,331.67674999999997,0.7072,0.816,76.16000000000001
2020-06-08,321.8693,335.0,328.43465000000003,0.692525,0.797,74.47625
2020-06-07,321.512,334.0,327.756,0.6935,0.789,74.125
2020-06-06,320.7869,329.0,324.89345000000003,0.69085,0.77,73.0425
2020-06-05,319.7408,328.0,323.8704,0.687725,0.7709999999999999,72.93624999999999
2020-06-04,324.3054,328.0,326.1527,0.70755,0.769,73.8275
2020-06-03,323.4219,330.0,326.71095,0.703475,0.773,73.82375
2020-06-02,323.976,331.0,327.488,0.70225,0.7759999999999999,73.91250000000001
2020-06-01,322.9987,332.0,327.49935,0.700575,0.777,73.87875
