Forecast_Date,Trump's EV Forecast (538),Trump's EV Forecast (Economist),Average_Projected_EV,Trump's Chance of Winning (538),Trump's Chance of Winning (Economist),Average_Chance_of_Winning (%)
2020-10-19,190.33599999999998,188.0,189.168,0.120425,0.073,9.67125
2020-10-18,191.2572,198.0,194.6286,0.121775,0.094,10.78875
2020-10-17,191.3031,197.0,194.15155,0.12235,0.08900000000000001,10.5675
2020-10-16,192.213,195.0,193.60649999999998,0.129225,0.087,10.81125
2020-10-15,192.0065,195.0,193.50324999999998,0.1295,0.086,10.775
2020-10-14,192.1605,193.0,192.58025,0.130775,0.085,10.78875
2020-10-13,191.7341,195.0,193.36705,0.129775,0.085,10.73875
2020-10-12,191.9522,193.0,192.4761,0.134325,0.09,11.21625
2020-10-11,192.5051,191.0,191.75254999999999,0.137725,0.087,11.236249999999998
2020-10-10,193.7852,188.0,190.89260000000002,0.144425,0.079,11.171249999999999
2020-10-09,194.4416,188.0,191.2208,0.147025,0.079,11.30125
2020-10-08,194.9928,188.0,191.4964,0.151625,0.077,11.43125
2020-10-07,195.3795,192.0,193.68975,0.15645,0.091,12.3725
2020-10-06,199.3351,197.0,198.16755,0.17175,0.09699999999999999,13.4375
2020-10-05,202.25599999999997,197.0,199.628,0.180725,0.102,14.13625
2020-10-04,203.25599999999997,199.0,201.128,0.18655,0.11,14.827499999999999
2020-10-03,205.2224,203.0,204.1112,0.19425,0.126,16.012500000000003
2020-10-02,205.0107,203.0,204.00535000000002,0.201875,0.129,16.543750000000003
2020-10-01,202.5991,199.0,200.79955,0.196175,0.10400000000000001,15.00875
2020-09-30,206.2862,201.0,203.6431,0.213425,0.11800000000000001,16.571250000000003
2020-09-29,206.9328,204.0,205.4664,0.216025,0.13,17.301250000000003
2020-09-28,207.7895,206.0,206.89475,0.2196,0.14300000000000002,18.130000000000003
2020-09-27,206.6381,207.0,206.81905,0.2197,0.146,18.285
2020-09-26,207.176,204.0,205.588,0.225325,0.14300000000000002,18.41625
2020-09-25,207.5498,205.0,206.2749,0.2281,0.141,18.455
2020-09-24,208.0136,208.0,208.0068,0.229275,0.146,18.76375
2020-09-23,206.3262,204.0,205.1631,0.22235,0.142,18.217499999999998
2020-09-22,205.9798,204.0,204.9899,0.226,0.14400000000000002,18.5
2020-09-21,206.3478,204.0,205.1739,0.22535,0.139,18.2175
2020-09-20,207.4107,203.0,205.20535,0.225775,0.131,17.83875
2020-09-19,207.3957,204.0,205.69785000000002,0.223425,0.135,17.92125
2020-09-18,207.7489,202.0,204.87445,0.22725,0.126,17.6625
2020-09-17,209.9885,203.0,206.49425,0.2368,0.136,18.64
2020-09-16,208.9003,203.0,205.95015,0.233525,0.133,18.326249999999998
2020-09-15,208.39,204.0,206.195,0.23765,0.154,19.5825
2020-09-14,208.9357,204.0,206.46785,0.239225,0.152,19.56125
2020-09-13,208.5953,205.0,206.79765,0.24095,0.157,19.8975
2020-09-12,209.328,205.0,207.164,0.24515,0.165,20.5075
2020-09-11,207.9071,204.0,205.95355,0.2405,0.159,19.974999999999998
2020-09-10,210.1214,204.0,207.0607,0.248775,0.152,20.03875
2020-09-09,210.8713,203.0,206.93565,0.253625,0.14400000000000002,19.88125
2020-09-08,216.7224,205.0,210.8612,0.282475,0.16399999999999998,22.323749999999997
2020-09-07,216.9577,204.0,210.47885,0.284875,0.156,22.04375
2020-09-06,216.8837,204.0,210.44185,0.2859,0.16,22.294999999999998
2020-09-05,218.0766,204.0,211.0383,0.29205,0.16699999999999998,22.952499999999997
2020-09-04,217.0903,204.0,210.54515,0.286825,0.16899999999999998,22.791249999999998
2020-09-03,218.8657,204.0,211.43285,0.293225,0.165,22.91125
2020-09-02,218.8979,203.0,210.94895,0.2919,0.153,22.244999999999997
2020-09-01,222.6908,205.0,213.84539999999998,0.30725,0.165,23.612500000000004
2020-08-31,225.0621,201.0,213.03105,0.321275,0.147,23.41375
2020-08-30,221.8873,201.0,211.44365,0.3094,0.152,23.07
2020-08-29,220.7868,201.0,210.89339999999999,0.307525,0.147,22.726249999999997
2020-08-28,220.4639,197.0,208.73194999999998,0.3035,0.133,21.825
2020-08-27,220.3914,196.0,208.1957,0.2994,0.125,21.22
2020-08-26,220.8551,188.0,204.42755,0.30055,0.106,20.327499999999997
2020-08-25,213.9388,193.0,203.4694,0.27045,0.115,19.2725
2020-08-24,213.7483,191.0,202.37415,0.269575,0.111,19.02875
2020-08-23,212.5292,198.0,205.2646,0.2673,0.128,19.765
2020-08-22,213.3921,199.0,206.19605,0.271,0.135,20.3
2020-08-21,213.0551,199.0,206.02755000000002,0.267575,0.135,20.12875
2020-08-20,215.0446,201.0,208.0223,0.27365,0.149,21.1325
2020-08-19,216.3484,201.0,208.67419999999998,0.278625,0.142,21.03125
2020-08-18,214.7168,203.0,208.85840000000002,0.26775,0.152,20.987499999999997
2020-08-17,215.2729,203.0,209.13645,0.2724,0.15,21.12
2020-08-16,215.5538,199.0,207.2769,0.282075,0.14400000000000002,21.30375
2020-08-15,213.2509,197.0,205.12545,0.27745,0.133,20.5225
2020-08-14,211.6081,196.0,203.80405000000002,0.267475,0.131,19.923750000000002
2020-08-13,213.7498,198.0,205.8749,0.2752,0.138,20.66
2020-08-12,215.1911,196.0,205.59555,0.28765,0.129,20.8325
2020-08-11,214.9498,198.0,206.4749,0.2866,0.138,21.23
2020-08-10,214.5426,196.0,205.2713,0.28395,0.132,20.7975
2020-08-09,215.6911,194.0,204.84555,0.287175,0.12300000000000001,20.50875
2020-08-08,216.0827,191.0,203.54135,0.2912,0.121,20.61
2020-08-07,217.1632,191.0,204.08159999999998,0.29715,0.11800000000000001,20.7575
2020-08-06,216.8208,191.0,203.91039999999998,0.2932,0.122,20.76
2020-08-05,217.515,195.0,206.2575,0.297725,0.132,21.486250000000002
2020-08-04,212.0597,195.0,203.52985,0.2804,0.135,20.77
2020-08-03,212.9614,195.0,203.9807,0.28325,0.135,20.9125
2020-08-02,213.0605,192.0,202.53025,0.283925,0.126,20.49625
2020-08-01,212.7638,195.0,203.8819,0.286075,0.134,21.00375
2020-07-31,213.5757,195.0,204.28785,0.2867,0.131,20.885
2020-07-30,208.4238,195.0,201.7119,0.2609,0.132,19.645000000000003
2020-07-29,209.04,196.0,202.51999999999998,0.266675,0.139,20.28375
2020-07-28,207.1326,195.0,201.0663,0.260625,0.133,19.68125
2020-07-27,208.6976,197.0,202.84879999999998,0.26675,0.141,20.387499999999996
2020-07-26,208.3017,195.0,201.65085,0.267475,0.135,20.12375
2020-07-25,209.0473,195.0,202.02365,0.262025,0.14,20.10125
2020-07-24,209.7756,192.0,200.8878,0.270275,0.122,19.61375
2020-07-23,207.8097,191.0,199.40485,0.2641,0.12,19.205
2020-07-22,206.5702,194.0,200.2851,0.252225,0.134,19.311249999999998
2020-07-21,208.3234,191.0,199.6617,0.2583,0.127,19.265
2020-07-20,205.582,191.0,198.291,0.24955,0.127,18.8275
2020-07-19,206.8156,187.0,196.9078,0.2566,0.121,18.88
2020-07-18,207.1693,186.0,196.58465,0.26135,0.11800000000000001,18.9675
2020-07-17,206.6574,186.0,196.3287,0.2623,0.11199999999999999,18.715
2020-07-16,205.8413,186.0,195.92065,0.25935,0.115,18.7175
2020-07-15,202.8228,186.0,194.41140000000001,0.2392,0.114,17.66
2020-07-14,205.0833,188.0,196.54165,0.258525,0.126,19.22625
2020-07-13,204.7945,196.0,200.39724999999999,0.258175,0.153,20.558749999999996
2020-07-12,206.4143,194.0,200.20715,0.27,0.145,20.75
2020-07-11,208.5454,194.0,201.2727,0.27945,0.14400000000000002,21.1725
2020-07-10,207.4411,195.0,201.22055,0.2752,0.149,21.21
2020-07-09,208.0501,199.0,203.52505,0.2727,0.165,21.884999999999998
2020-07-08,206.8318,199.0,202.9159,0.269625,0.16699999999999998,21.83125
2020-07-07,206.8485,197.0,201.92425,0.2684,0.166,21.72
2020-07-06,211.0341,197.0,204.01704999999998,0.28085,0.16,22.042499999999997
2020-07-05,202.7701,197.0,199.88505,0.23735,0.16,19.8675
2020-07-04,203.1415,197.0,200.07075,0.239875,0.162,20.09375
2020-07-03,201.9703,195.5,198.73515,0.238125,0.155,19.65625
2020-07-02,202.9859,195.0,198.99295,0.240025,0.15,19.50125
2020-07-01,202.0124,191.0,196.5062,0.23535,0.139,18.7175
2020-06-30,202.2096,195.0,198.6048,0.235475,0.151,19.32375
2020-06-29,196.828,195.0,195.914,0.209525,0.153,18.12625
2020-06-28,196.2056,197.0,196.6028,0.211325,0.155,18.31625
2020-06-27,196.2634,195.0,195.6317,0.2081,0.146,17.705
2020-06-26,195.4595,195.0,195.22975,0.206375,0.15,17.81875
2020-06-25,198.2772,195.0,196.6386,0.21695,0.147,18.197499999999998
2020-06-24,196.5073,197.0,196.75365,0.210325,0.161,18.56625
2020-06-23,197.761,195.0,196.38049999999998,0.2171,0.159,18.805
2020-06-22,198.0367,195.0,196.51835,0.2154,0.157,18.62
2020-06-21,199.1915,191.0,195.09575,0.2195,0.139,17.925
2020-06-20,199.5023,190.0,194.75115,0.222,0.142,18.2
2020-06-19,200.5645,192.0,196.28225,0.225175,0.149,18.70875
2020-06-18,201.7995,192.0,196.89974999999998,0.2375,0.147,19.224999999999998
2020-06-17,202.0645,189.0,195.53225,0.235175,0.138,18.65875
2020-06-16,203.4893,191.0,197.24464999999998,0.2396,0.14300000000000002,19.130000000000003
2020-06-15,205.0138,193.0,199.0069,0.2478,0.152,19.99
2020-06-14,201.995,195.0,198.4975,0.234775,0.161,19.78875
2020-06-13,203.3475,196.0,199.67374999999998,0.23715,0.16699999999999998,20.2075
2020-06-12,203.924,195.0,199.462,0.24235,0.159,20.0675
2020-06-11,204.4158,195.0,199.7079,0.245325,0.158,20.166249999999998
2020-06-10,211.3559,198.0,204.67795,0.28395,0.175,22.947499999999998
2020-06-09,213.6465,199.0,206.32325,0.288525,0.18100000000000002,23.47625
2020-06-08,216.1307,203.0,209.56535,0.303425,0.2,25.17125
2020-06-07,216.488,204.0,210.244,0.302275,0.20800000000000002,25.51375
2020-06-06,217.2131,209.0,213.10655,0.30525,0.226,26.5625
2020-06-05,218.2592,210.0,214.12959999999998,0.30775,0.225,26.637500000000003
2020-06-04,213.6946,210.0,211.84730000000002,0.28835,0.22699999999999998,25.7675
2020-06-03,214.5781,208.0,211.28905,0.292525,0.223,25.77625
2020-06-02,214.024,207.0,210.512,0.293975,0.22,25.698749999999997
2020-06-01,215.0013,206.0,210.50065,0.2959,0.218,25.695
