Forecast_Date,538's Projection of Trump's EV,Economist's Projection of Trump's EV,Average_Projected_EV
2020-10-08,194.9928,188.0,191.4964
2020-10-07,195.3795,192.0,193.68975
2020-10-06,199.3351,197.0,198.16755
2020-10-05,202.25599999999997,197.0,199.628
2020-10-04,203.25599999999997,199.0,201.128
2020-10-03,205.2224,203.0,204.1112
2020-10-02,205.0107,203.0,204.00535000000002
2020-10-01,202.5991,199.0,200.79955
2020-09-30,206.2862,201.0,203.6431
2020-09-29,206.9328,204.0,205.4664
2020-09-28,207.7895,206.0,206.89475
2020-09-27,206.6381,207.0,206.81905
2020-09-26,207.176,204.0,205.588
2020-09-25,207.5498,205.0,206.2749
2020-09-24,208.0136,208.0,208.0068
2020-09-23,206.3262,204.0,205.1631
2020-09-22,205.9798,204.0,204.9899
2020-09-21,206.3478,204.0,205.1739
2020-09-20,207.4107,203.0,205.20535
2020-09-19,207.3957,204.0,205.69785000000002
2020-09-18,207.7489,202.0,204.87445
2020-09-17,209.9885,203.0,206.49425
2020-09-16,208.9003,203.0,205.95015
2020-09-15,208.39,204.0,206.195
2020-09-14,208.9357,204.0,206.46785
2020-09-13,208.5953,205.0,206.79765
2020-09-12,209.328,205.0,207.164
2020-09-11,207.9071,204.0,205.95355
2020-09-10,210.1214,204.0,207.0607
2020-09-09,210.8713,203.0,206.93565
2020-09-08,216.7224,205.0,210.8612
2020-09-07,216.9577,204.0,210.47885
2020-09-06,216.8837,204.0,210.44185
2020-09-05,218.0766,204.0,211.0383
2020-09-04,217.0903,204.0,210.54515
2020-09-03,218.8657,204.0,211.43285
2020-09-02,218.8979,203.0,210.94895
2020-09-01,222.6908,205.0,213.84539999999998
2020-08-31,225.0621,201.0,213.03105
2020-08-30,221.8873,201.0,211.44365
2020-08-29,220.7868,201.0,210.89339999999999
2020-08-28,220.4639,197.0,208.73194999999998
2020-08-27,220.3914,196.0,208.1957
2020-08-26,220.8551,188.0,204.42755
2020-08-25,213.9388,193.0,203.4694
2020-08-24,213.7483,191.0,202.37415
2020-08-23,212.5292,198.0,205.2646
2020-08-22,213.3921,199.0,206.19605
2020-08-21,213.0551,199.0,206.02755000000002
2020-08-20,215.0446,201.0,208.0223
2020-08-19,216.3484,201.0,208.67419999999998
2020-08-18,214.7168,203.0,208.85840000000002
2020-08-17,215.2729,203.0,209.13645
2020-08-16,215.5538,199.0,207.2769
2020-08-15,213.2509,197.0,205.12545
2020-08-14,211.6081,196.0,203.80405000000002
2020-08-13,213.7498,198.0,205.8749
2020-08-12,215.1911,196.0,205.59555
2020-08-11,214.9498,198.0,206.4749
2020-08-10,214.5426,196.0,205.2713
2020-08-09,215.6911,194.0,204.84555
2020-08-08,216.0827,191.0,203.54135
2020-08-07,217.1632,191.0,204.08159999999998
2020-08-06,216.8208,191.0,203.91039999999998
2020-08-05,217.515,195.0,206.2575
2020-08-04,212.0597,195.0,203.52985
2020-08-03,212.9614,195.0,203.9807
2020-08-02,213.0605,192.0,202.53025
2020-08-01,212.7638,195.0,203.8819
2020-07-31,213.5757,195.0,204.28785
2020-07-30,208.4238,195.0,201.7119
2020-07-29,209.04,196.0,202.51999999999998
2020-07-28,207.1326,195.0,201.0663
2020-07-27,208.6976,197.0,202.84879999999998
2020-07-26,208.3017,195.0,201.65085
2020-07-25,209.0473,195.0,202.02365
2020-07-24,209.7756,192.0,200.8878
2020-07-23,207.8097,191.0,199.40485
2020-07-22,206.5702,194.0,200.2851
2020-07-21,208.3234,191.0,199.6617
2020-07-20,205.582,191.0,198.291
2020-07-19,206.8156,187.0,196.9078
2020-07-18,207.1693,186.0,196.58465
2020-07-17,206.6574,186.0,196.3287
2020-07-16,205.8413,186.0,195.92065
2020-07-15,202.8228,186.0,194.41140000000001
2020-07-14,205.0833,188.0,196.54165
2020-07-13,204.7945,196.0,200.39724999999999
2020-07-12,206.4143,194.0,200.20715
2020-07-11,208.5454,194.0,201.2727
2020-07-10,207.4411,195.0,201.22055
2020-07-09,208.0501,199.0,203.52505
2020-07-08,206.8318,199.0,202.9159
2020-07-07,206.8485,197.0,201.92425
2020-07-06,211.0341,197.0,204.01704999999998
2020-07-05,202.7701,197.0,199.88505
2020-07-04,203.1415,197.0,200.07075
2020-07-03,201.9703,195.5,198.73515
2020-07-02,202.9859,195.0,198.99295
2020-07-01,202.0124,191.0,196.5062
2020-06-30,202.2096,195.0,198.6048
2020-06-29,196.828,195.0,195.914
2020-06-28,196.2056,197.0,196.6028
2020-06-27,196.2634,195.0,195.6317
2020-06-26,195.4595,195.0,195.22975
2020-06-25,198.2772,195.0,196.6386
2020-06-24,196.5073,197.0,196.75365
2020-06-23,197.761,195.0,196.38049999999998
2020-06-22,198.0367,195.0,196.51835
2020-06-21,199.1915,191.0,195.09575
2020-06-20,199.5023,190.0,194.75115
2020-06-19,200.5645,192.0,196.28225
2020-06-18,201.7995,192.0,196.89974999999998
2020-06-17,202.0645,189.0,195.53225
2020-06-16,203.4893,191.0,197.24464999999998
2020-06-15,205.0138,193.0,199.0069
2020-06-14,201.995,195.0,198.4975
2020-06-13,203.3475,196.0,199.67374999999998
2020-06-12,203.924,195.0,199.462
2020-06-11,204.4158,195.0,199.7079
2020-06-10,211.3559,198.0,204.67795
2020-06-09,213.6465,199.0,206.32325
2020-06-08,216.1307,203.0,209.56535
2020-06-07,216.488,204.0,210.244
2020-06-06,217.2131,209.0,213.10655
2020-06-05,218.2592,210.0,214.12959999999998
2020-06-04,213.6946,210.0,211.84730000000002
2020-06-03,214.5781,208.0,211.28905
2020-06-02,214.024,207.0,210.512
2020-06-01,215.0013,206.0,210.50065
